PLATFORM_NUMBER,CYCLE_NUMBER,LATITUDE,LONGITUDE,DEPTH,TEMP,PSAL,DOXY,CURRENT_SPEED,CURRENT_DIR,DATE_TIME
2903341,104,18.19361313990458,88.50867323332726,0,25.79,31.56,198.1,0.44,45.0,2025-03-21T06:00:00Z
2903341,104,18.199196871905443,88.49947342075596,5,25.2,31.75,186.9,0.42,45.5,2025-03-21T06:00:00Z
2903341,104,18.19404385694667,88.4934912919667,10,24.77,31.93,176.3,0.44,46.0,2025-03-21T06:00:00Z
2903341,104,18.20823086146972,88.50343144541662,20,23.9,32.27,156.6,0.42,47.0,2025-03-21T06:00:00Z
2903341,104,18.201585889917688,88.49410597031516,30,22.64,32.58,138.8,0.39,48.0,2025-03-21T06:00:00Z
2903341,104,18.19906419985034,88.50702088779089,50,20.09,33.13,107.6,0.37,50.0,2025-03-21T06:00:00Z
2903341,104,18.194734939185096,88.50284576727195,75,15.92,33.7,75.1,0.32,52.5,2025-03-21T06:00:00Z
2903341,104,18.190498086890486,88.50977052277415,100,12.04,34.11,47.5,0.32,55.0,2025-03-21T06:00:00Z
2903341,104,18.195718159697797,88.49555563315619,125,8.66,34.36,22.9,0.31,57.5,2025-03-21T06:00:00Z
2903341,104,18.200172983773196,88.49565106935967,150,6.3,34.49,2.5,0.28,60.0,2025-03-21T06:00:00Z
2903341,104,18.19989096049855,88.49032504285957,200,3.89,34.56,2.5,0.23,65.0,2025-03-21T06:00:00Z
2903341,104,18.190101269692434,88.49031763064792,250,3.17,34.61,2.5,0.17,70.0,2025-03-21T06:00:00Z
2903341,104,18.19264165284702,88.50961387997737,300,2.9,34.68,2.5,0.16,75.0,2025-03-21T06:00:00Z
2903341,104,18.207598125060247,88.5067046040839,400,2.86,34.76,2.5,0.1,85.0,2025-03-21T06:00:00Z
2903341,104,18.196376432204577,88.49089476722953,500,2.82,34.79,2.5,0.09,95.0,2025-03-21T06:00:00Z
2903341,104,18.203359888538262,88.49299132205545,600,2.75,34.8,2.5,0.06,105.0,2025-03-21T06:00:00Z
2903341,104,18.208394256348985,88.492213726774,800,2.9,34.8,37.7,0.04,125.0,2025-03-21T06:00:00Z
2903341,104,18.20192675461044,88.50798116999539,1000,2.82,34.8,40.0,0.04,145.0,2025-03-21T06:00:00Z
